2023-07-02_21:42:13: {'batch_size': 512, 'beta': 0.1, 'dampening': 0.0, 'learning_rate': 0.1, 'momentum': 0.0, 'weight_decay': 0.0} {'loss': 0.7082921955734491, 'accuracy': 0.9652670787234731, 'recall': 0.07804270382395381, 'precision': 0.02031394519701062, 'f1': 0.02191828115887984}
2023-07-02_23:35:03: {'batch_size': 512, 'beta': 0.7, 'dampening': 0.0, 'learning_rate': 0.1, 'momentum': 0.5, 'weight_decay': 0.0} {'loss': 0.6967726948981483, 'accuracy': 0.9468922111558618, 'recall': 0.061557539682539686, 'precision': 0.014975323906136387, 'f1': 0.010518308933482198}
2023-07-02_23:36:21: {'batch_size': 512, 'beta': 0.7, 'dampening': 0.0, 'learning_rate': 0.1, 'momentum': 0.7, 'weight_decay': 0.0} {'loss': 0.6858750758692622, 'accuracy': 0.9910381941074664, 'recall': 0.003645833333333333, 'precision': 0.006944444444444444, 'f1': 0.004774305555555555}
2023-07-02_23:37:39: {'batch_size': 512, 'beta': 0.7, 'dampening': 0.0, 'learning_rate': 0.1, 'momentum': 0.9, 'weight_decay': 0.0} {'loss': 0.6639682352542877, 'accuracy': 0.9910272001973344, 'recall': 0.0008680555555555555, 'precision': 0.005208333333333333, 'f1': 0.001488095238095238}
2023-07-02_23:38:58: {'batch_size': 512, 'beta': 0.7, 'dampening': 0.0, 'learning_rate': 0.1, 'momentum': 1.0, 'weight_decay': 0.0} {'loss': 0.6453645875056585, 'accuracy': 0.9909403230339351, 'recall': 0.0, 'precision': 0.0, 'f1': 0.0}
2023-07-02_23:40:15: {'batch_size': 512, 'beta': 0.7, 'dampening': 0.0, 'learning_rate': 0.01, 'momentum': 0.0, 'weight_decay': 0.0} {'loss': 0.7206044386451442, 'accuracy': 0.9437897802633282, 'recall': 0.05786210317460317, 'precision': 0.019493588475678697, 'f1': 0.01509451226840087}
2023-07-02_23:41:33: {'batch_size': 512, 'beta': 0.7, 'dampening': 0.0, 'learning_rate': 0.01, 'momentum': 0.1, 'weight_decay': 0.0} {'loss': 0.7202778759722908, 'accuracy': 0.9821901183197463, 'recall': 0.013287450396825398, 'precision': 0.0014398388709009067, 'f1': 0.002530188352293904}
2023-07-02_23:42:50: {'batch_size': 512, 'beta': 0.7, 'dampening': 0.0, 'learning_rate': 0.01, 'momentum': 0.3, 'weight_decay': 0.0} {'loss': 0.7200137265026569, 'accuracy': 0.9541470545419255, 'recall': 0.04767691798941798, 'precision': 0.013572583715501609, 'f1': 0.008811283216051635}
2023-07-02_23:44:08: {'batch_size': 512, 'beta': 0.7, 'dampening': 0.0, 'learning_rate': 0.01, 'momentum': 0.5, 'weight_decay': 0.0} {'loss': 0.7192421071231365, 'accuracy': 0.9603205773647774, 'recall': 0.06576140873015873, 'precision': 0.011133853412311313, 'f1': 0.011616383577668053}
2023-07-02_23:45:26: {'batch_size': 512, 'beta': 0.7, 'dampening': 0.0, 'learning_rate': 0.01, 'momentum': 0.7, 'weight_decay': 0.0} {'loss': 0.7178607614090046, 'accuracy': 0.9903187880111284, 'recall': 0.0, 'precision': 0.0, 'f1': 0.0}
2023-07-02_23:46:44: {'batch_size': 512, 'beta': 0.7, 'dampening': 0.0, 'learning_rate': 0.01, 'momentum': 0.9, 'weight_decay': 0.0} {'loss': 0.7143257077162465, 'accuracy': 0.987558368817126, 'recall': 0.007514880952380951, 'precision': 0.007414305268891182, 'f1': 0.0049994052847313715}
2023-07-02_23:48:02: {'batch_size': 512, 'beta': 0.7, 'dampening': 0.0, 'learning_rate': 0.01, 'momentum': 1.0, 'weight_decay': 0.0} {'loss': 0.7088721230005225, 'accuracy': 0.9903668073887164, 'recall': 0.008967840608465607, 'precision': 0.03081597222222222, 'f1': 0.013058035714285716}
2023-07-02_23:49:19: {'batch_size': 512, 'beta': 0.7, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.0, 'weight_decay': 0.0} {'loss': 0.7218906357884407, 'accuracy': 0.9505309426759834, 'recall': 0.06222718253968254, 'precision': 0.0082326949788345, 'f1': 0.007789515376229749}
2023-07-02_23:50:37: {'batch_size': 512, 'beta': 0.7, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.1, 'weight_decay': 0.0} {'loss': 0.7218908130501708, 'accuracy': 0.8945141904842779, 'recall': 0.11819609788359789, 'precision': 0.003043883668537914, 'f1': 0.005849718624785069}
2023-07-02_23:51:55: {'batch_size': 512, 'beta': 0.7, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.3, 'weight_decay': 0.0} {'loss': 0.721834394459923, 'accuracy': 0.9735918696622672, 'recall': 0.037518601190476196, 'precision': 0.011672242985107058, 'f1': 0.009818260916997636}
2023-07-02_23:53:13: {'batch_size': 512, 'beta': 0.7, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.5, 'weight_decay': 0.0} {'loss': 0.7217377685010433, 'accuracy': 0.968414875291149, 'recall': 0.056921897546897554, 'precision': 0.018058088894499877, 'f1': 0.0130876507253284}
2023-07-02_23:54:32: {'batch_size': 512, 'beta': 0.7, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.7, 'weight_decay': 0.0} {'loss': 0.7216296556095282, 'accuracy': 0.9909541601966874, 'recall': 0.001519097222222222, 'precision': 0.010416666666666666, 'f1': 0.0026455026455026454}
2023-07-02_23:55:50: {'batch_size': 512, 'beta': 0.7, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.9, 'weight_decay': 0.0} {'loss': 0.7212543807302912, 'accuracy': 0.9901531843418413, 'recall': 0.008940972222222222, 'precision': 0.015718005952380952, 'f1': 0.00875082671957672}
2023-07-02_23:57:08: {'batch_size': 512, 'beta': 0.7, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 1.0, 'weight_decay': 0.0} {'loss': 0.7206184615691502, 'accuracy': 0.9895493406686724, 'recall': 0.007725694444444444, 'precision': 0.0032392376142376146, 'f1': 0.004400927401846519}
2023-07-02_23:58:27: {'batch_size': 512, 'beta': 0.7, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.0, 'weight_decay': 0.0} {'loss': 0.7220253323515257, 'accuracy': 0.890420348994727, 'recall': 0.10055409000721499, 'precision': 0.002186676276160585, 'f1': 0.004244543517077225}
2023-07-02_23:59:45: {'batch_size': 512, 'beta': 0.7, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.1, 'weight_decay': 0.0} {'loss': 0.7220237385481596, 'accuracy': 0.9797285565678377, 'recall': 0.030408812830687824, 'precision': 0.011855631007330447, 'f1': 0.012666444645566655}
2023-07-03_00:01:04: {'batch_size': 512, 'beta': 0.7, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.3, 'weight_decay': 0.0} {'loss': 0.7220197565232713, 'accuracy': 0.9556523988459175, 'recall': 0.05582837301587302, 'precision': 0.011988898182847861, 'f1': 0.00712800390032527}
2023-07-03_00:02:22: {'batch_size': 512, 'beta': 0.7, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.5, 'weight_decay': 0.0} {'loss': 0.7220137926439444, 'accuracy': 0.9700121514298655, 'recall': 0.031088789682539687, 'precision': 0.004222579577402682, 'f1': 0.004187097186111949}
2023-07-03_00:03:40: {'batch_size': 512, 'beta': 0.7, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.7, 'weight_decay': 0.0} {'loss': 0.7219974730784694, 'accuracy': 0.9831601729304154, 'recall': 0.034552744708994707, 'precision': 0.027789918670699434, 'f1': 0.018204291084779917}
2023-07-03_00:04:59: {'batch_size': 512, 'beta': 0.7, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.9, 'weight_decay': 0.0} {'loss': 0.7219575131312013, 'accuracy': 0.9912638219987384, 'recall': 0.0, 'precision': 0.0, 'f1': 0.0}
2023-07-03_00:06:16: {'batch_size': 512, 'beta': 0.7, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 1.0, 'weight_decay': 0.0} {'loss': 0.7219007549186547, 'accuracy': 0.9842006138392858, 'recall': 0.02186259920634921, 'precision': 0.007769161957506172, 'f1': 0.010625920483856865}
2023-07-03_00:07:34: {'batch_size': 512, 'beta': 0.9, 'dampening': 0.0, 'learning_rate': 0.1, 'momentum': 0.0, 'weight_decay': 0.0} {'loss': 0.6664080306266744, 'accuracy': 0.9290233161878882, 'recall': 0.07548156415343915, 'precision': 0.01597874409141842, 'f1': 0.011878588925985678}
2023-07-03_00:08:51: {'batch_size': 512, 'beta': 0.9, 'dampening': 0.0, 'learning_rate': 0.1, 'momentum': 0.1, 'weight_decay': 0.0} {'loss': 0.6651172436152896, 'accuracy': 0.9343903662008282, 'recall': 0.08143037518037517, 'precision': 0.013911827123667439, 'f1': 0.015365165091773669}
2023-07-03_00:10:09: {'batch_size': 512, 'beta': 0.9, 'dampening': 0.0, 'learning_rate': 0.1, 'momentum': 0.3, 'weight_decay': 0.0} {'loss': 0.6610861072937648, 'accuracy': 0.9537011061642728, 'recall': 0.051798490860990865, 'precision': 0.0062025015028057615, 'f1': 0.007512049033109524}
2023-07-03_00:11:26: {'batch_size': 512, 'beta': 0.9, 'dampening': 0.0, 'learning_rate': 0.1, 'momentum': 0.5, 'weight_decay': 0.0} {'loss': 0.655416836341222, 'accuracy': 0.9873770956667314, 'recall': 0.012859623015873014, 'precision': 0.019322442518674137, 'f1': 0.011626244373193267}
2023-07-03_00:12:44: {'batch_size': 512, 'beta': 0.9, 'dampening': 0.0, 'learning_rate': 0.1, 'momentum': 0.7, 'weight_decay': 0.0} {'loss': 0.6454034807781379, 'accuracy': 0.9706648358647127, 'recall': 0.05236441798941799, 'precision': 0.020481625291537346, 'f1': 0.016696052298441365}
2023-07-03_00:14:02: {'batch_size': 512, 'beta': 0.9, 'dampening': 0.0, 'learning_rate': 0.1, 'momentum': 0.9, 'weight_decay': 0.0} {'loss': 0.6252776520947616, 'accuracy': 0.9912656543170937, 'recall': 0.001736111111111111, 'precision': 0.005208333333333333, 'f1': 0.0026041666666666665}
2023-07-03_00:15:19: {'batch_size': 512, 'beta': 0.9, 'dampening': 0.0, 'learning_rate': 0.1, 'momentum': 1.0, 'weight_decay': 0.0} {'loss': 0.6076932422195872, 'accuracy': 0.991054874522839, 'recall': 0.008854166666666666, 'precision': 0.01996527777777778, 'f1': 0.0119171626984127}
2023-07-03_00:16:37: {'batch_size': 512, 'beta': 0.9, 'dampening': 0.0, 'learning_rate': 0.01, 'momentum': 0.0, 'weight_decay': 0.0} {'loss': 0.6786158916850885, 'accuracy': 0.9445201802697981, 'recall': 0.084375, 'precision': 0.020841112285435958, 'f1': 0.01614770623868271}
2023-07-03_00:17:55: {'batch_size': 512, 'beta': 0.9, 'dampening': 0.0, 'learning_rate': 0.01, 'momentum': 0.1, 'weight_decay': 0.0} {'loss': 0.6782011833662788, 'accuracy': 0.9435899943792055, 'recall': 0.06179728835978835, 'precision': 0.02202112903378675, 'f1': 0.014483157314830322}
2023-07-03_00:19:11: {'batch_size': 512, 'beta': 0.9, 'dampening': 0.0, 'learning_rate': 0.01, 'momentum': 0.3, 'weight_decay': 0.0} {'loss': 0.6780263297259808, 'accuracy': 0.9679534469825635, 'recall': 0.032407407407407406, 'precision': 0.009342580398741042, 'f1': 0.0072303788753128075}
2023-07-03_00:20:27: {'batch_size': 512, 'beta': 0.9, 'dampening': 0.0, 'learning_rate': 0.01, 'momentum': 0.5, 'weight_decay': 0.0} {'loss': 0.6775862009574969, 'accuracy': 0.9465150063082298, 'recall': 0.06010044642857143, 'precision': 0.010017673709486356, 'f1': 0.009771079569729274}
2023-07-03_00:21:44: {'batch_size': 512, 'beta': 0.9, 'dampening': 0.0, 'learning_rate': 0.01, 'momentum': 0.7, 'weight_decay': 0.0} {'loss': 0.6762558203190565, 'accuracy': 0.9909403230339351, 'recall': 0.001736111111111111, 'precision': 0.005208333333333333, 'f1': 0.0026041666666666665}
2023-07-03_00:23:01: {'batch_size': 512, 'beta': 0.9, 'dampening': 0.0, 'learning_rate': 0.01, 'momentum': 0.9, 'weight_decay': 0.0} {'loss': 0.6726526053001484, 'accuracy': 0.9882806181660844, 'recall': 0.01077628968253968, 'precision': 0.01084786162911163, 'f1': 0.007658249070545897}
2023-07-03_00:24:18: {'batch_size': 512, 'beta': 0.9, 'dampening': 0.0, 'learning_rate': 0.01, 'momentum': 1.0, 'weight_decay': 0.0} {'loss': 0.667177392480274, 'accuracy': 0.9903409653815671, 'recall': 0.007118055555555555, 'precision': 0.006944444444444444, 'f1': 0.006510416666666667}
2023-07-03_00:25:35: {'batch_size': 512, 'beta': 0.9, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.0, 'weight_decay': 0.0} {'loss': 0.680088725561897, 'accuracy': 0.9409469699267274, 'recall': 0.060694745069745065, 'precision': 0.0041895562925377905, 'f1': 0.0070928017569869}
2023-07-03_00:26:52: {'batch_size': 512, 'beta': 0.9, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.1, 'weight_decay': 0.0} {'loss': 0.6800590020914872, 'accuracy': 0.9687017278888457, 'recall': 0.05256132756132756, 'precision': 0.014719806302658907, 'f1': 0.013974291667429216}
2023-07-03_00:28:09: {'batch_size': 512, 'beta': 0.9, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.3, 'weight_decay': 0.0} {'loss': 0.6800386750449737, 'accuracy': 0.9795554340749548, 'recall': 0.04947089947089947, 'precision': 0.01710911186677346, 'f1': 0.016896950012226422}
2023-07-03_00:29:26: {'batch_size': 512, 'beta': 0.9, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.5, 'weight_decay': 0.0} {'loss': 0.6799696624899904, 'accuracy': 0.990956813899133, 'recall': 0.003472222222222222, 'precision': 0.015625, 'f1': 0.005654761904761905}
2023-07-03_00:30:43: {'batch_size': 512, 'beta': 0.9, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.7, 'weight_decay': 0.0} {'loss': 0.6798486821353436, 'accuracy': 0.982048713889428, 'recall': 0.02182746362433862, 'precision': 0.016879898336924635, 'f1': 0.012880243929111895}
2023-07-03_00:31:59: {'batch_size': 512, 'beta': 0.9, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.9, 'weight_decay': 0.0} {'loss': 0.6795035324369868, 'accuracy': 0.9907663791569618, 'recall': 0.0056919642857142854, 'precision': 0.016927083333333332, 'f1': 0.007705026455026456}
2023-07-03_00:33:15: {'batch_size': 512, 'beta': 0.9, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 1.0, 'weight_decay': 0.0} {'loss': 0.6789017198607326, 'accuracy': 0.9893257346459304, 'recall': 0.0038194444444444448, 'precision': 0.0017233923483923484, 'f1': 0.0023148148148148147}
2023-07-03_00:34:32: {'batch_size': 512, 'beta': 0.9, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.0, 'weight_decay': 0.0} {'loss': 0.6802388507251937, 'accuracy': 0.9138701065726902, 'recall': 0.08257068452380953, 'precision': 0.009304343981012833, 'f1': 0.008950789323463099}
2023-07-03_00:35:49: {'batch_size': 512, 'beta': 0.9, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.1, 'weight_decay': 0.0} {'loss': 0.6802331792811553, 'accuracy': 0.9384640521884705, 'recall': 0.0743923611111111, 'precision': 0.013687368143064902, 'f1': 0.012540573432677091}
2023-07-03_00:37:05: {'batch_size': 512, 'beta': 0.9, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.3, 'weight_decay': 0.0} {'loss': 0.6802135317896802, 'accuracy': 0.9768450561270704, 'recall': 0.03968460648148149, 'precision': 0.00953501016728263, 'f1': 0.008499420188984991}
2023-07-03_00:38:22: {'batch_size': 512, 'beta': 0.9, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.5, 'weight_decay': 0.0} {'loss': 0.6802240774656335, 'accuracy': 0.964596702938988, 'recall': 0.04279513888888889, 'precision': 0.022458334272876943, 'f1': 0.012387508869534845}
2023-07-03_00:39:38: {'batch_size': 512, 'beta': 0.9, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.7, 'weight_decay': 0.0} {'loss': 0.68022453195105, 'accuracy': 0.9883796897240554, 'recall': 0.01166087962962963, 'precision': 0.01754092261904762, 'f1': 0.011491303673966212}
2023-07-03_00:40:54: {'batch_size': 512, 'beta': 0.9, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.9, 'weight_decay': 0.0} {'loss': 0.6801830806458989, 'accuracy': 0.9891286024642533, 'recall': 0.011168981481481481, 'precision': 0.010313326719576719, 'f1': 0.010209423100048099}
2023-07-03_00:42:11: {'batch_size': 512, 'beta': 0.9, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 1.0, 'weight_decay': 0.0} {'loss': 0.6801096461713314, 'accuracy': 0.9911492705098344, 'recall': 0.0, 'precision': 0.0, 'f1': 0.0}
2023-07-03_06:08:04: {'batch_size': 512, 'beta': 0.8, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.0, 'weight_decay': 0.0} {'loss': 0.7151852007955313, 'accuracy': 0.9696123901114453, 'recall': 0.03218438101250601, 'precision': 0.007788312623605843, 'f1': 0.006281515260549151}
2023-07-03_06:09:20: {'batch_size': 512, 'beta': 0.8, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.05, 'weight_decay': 0.0} {'loss': 0.7151968975861867, 'accuracy': 0.9575619904891304, 'recall': 0.06757812500000002, 'precision': 0.00432477886251714, 'f1': 0.007960852175460388}
2023-07-03_06:10:35: {'batch_size': 512, 'beta': 0.8, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.1, 'weight_decay': 0.0} {'loss': 0.715184213904043, 'accuracy': 0.9761655187508087, 'recall': 0.04522362764550265, 'precision': 0.01496949501832928, 'f1': 0.009478398508278026}
2023-07-03_06:11:52: {'batch_size': 512, 'beta': 0.8, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.2, 'weight_decay': 0.0} {'loss': 0.7151852461198965, 'accuracy': 0.8859804520695846, 'recall': 0.1250186011904762, 'precision': 0.01814378033026671, 'f1': 0.011641760908592208}
2023-07-03_06:13:09: {'batch_size': 512, 'beta': 0.8, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.0, 'weight_decay': 0.0} {'loss': 0.7153409753615657, 'accuracy': 0.9846380324590773, 'recall': 0.03209945436507937, 'precision': 0.016091298970706783, 'f1': 0.014972232924675997}
2023-07-03_06:14:26: {'batch_size': 512, 'beta': 0.8, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.05, 'weight_decay': 0.0} {'loss': 0.7153333413104217, 'accuracy': 0.9589057748608953, 'recall': 0.02522321428571429, 'precision': 0.0007761660411534245, 'f1': 0.0015008512334686124}
2023-07-03_06:15:42: {'batch_size': 512, 'beta': 0.8, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.1, 'weight_decay': 0.0} {'loss': 0.7153343567624688, 'accuracy': 0.9519719662873641, 'recall': 0.04097635582010581, 'precision': 0.014118719579754448, 'f1': 0.006976574355062944}
2023-07-03_06:16:59: {'batch_size': 512, 'beta': 0.8, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.2, 'weight_decay': 0.0} {'loss': 0.7153346929699183, 'accuracy': 0.9768220573725414, 'recall': 0.05022321428571429, 'precision': 0.009608514866041204, 'f1': 0.013660987822102831}
2023-07-03_06:18:15: {'batch_size': 512, 'beta': 0.9, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.0, 'weight_decay': 0.0} {'loss': 0.6801174574842055, 'accuracy': 0.9271757706351903, 'recall': 0.07124255952380953, 'precision': 0.015607612353324224, 'f1': 0.010287571513810472}
2023-07-03_06:19:31: {'batch_size': 512, 'beta': 0.9, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.05, 'weight_decay': 0.0} {'loss': 0.6800847773750622, 'accuracy': 0.9367208855986349, 'recall': 0.07230616605616605, 'precision': 0.010818854563220816, 'f1': 0.008458229745227962}
2023-07-03_06:20:49: {'batch_size': 512, 'beta': 0.9, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.1, 'weight_decay': 0.0} {'loss': 0.6800850946456194, 'accuracy': 0.987497333660876, 'recall': 0.018967013888888887, 'precision': 0.01230746972934473, 'f1': 0.012778682544307546}
2023-07-03_06:22:06: {'batch_size': 512, 'beta': 0.9, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.2, 'weight_decay': 0.0} {'loss': 0.6800398224343857, 'accuracy': 0.9546674961382311, 'recall': 0.034179029882154884, 'precision': 0.013081255923202001, 'f1': 0.007839697340972103}
2023-07-03_06:23:22: {'batch_size': 512, 'beta': 0.9, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.0, 'weight_decay': 0.0} {'loss': 0.6802339237183332, 'accuracy': 0.9494363536005435, 'recall': 0.0714823082010582, 'precision': 0.010868902319619792, 'f1': 0.011531082536891096}
2023-07-03_06:24:39: {'batch_size': 512, 'beta': 0.9, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.05, 'weight_decay': 0.0} {'loss': 0.6802377837399641, 'accuracy': 0.9658247353374094, 'recall': 0.05690310846560846, 'precision': 0.013814460393411922, 'f1': 0.012711551295256123}
2023-07-03_06:25:55: {'batch_size': 512, 'beta': 0.9, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.1, 'weight_decay': 0.0} {'loss': 0.6802284105991323, 'accuracy': 0.9699741150281445, 'recall': 0.03630332341269841, 'precision': 0.005280370909020253, 'f1': 0.007399848939394494}
2023-07-03_06:27:12: {'batch_size': 512, 'beta': 0.9, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.2, 'weight_decay': 0.0} {'loss': 0.6802144537990292, 'accuracy': 0.9497810190015205, 'recall': 0.04552331349206349, 'precision': 0.010981965212556665, 'f1': 0.007264845348610089}
2023-07-03_06:28:29: {'batch_size': 512, 'beta': 0.99, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.0, 'weight_decay': 0.0} {'loss': 0.32499682146590203, 'accuracy': 0.9766157635990877, 'recall': 0.05260623346560847, 'precision': 0.04032465973157092, 'f1': 0.035398398722914705}
2023-07-03_06:29:46: {'batch_size': 512, 'beta': 0.99, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.05, 'weight_decay': 0.0} {'loss': 0.32516658907600987, 'accuracy': 0.9783359314343945, 'recall': 0.052323457792207796, 'precision': 0.04052071152226643, 'f1': 0.03092159662201632}
2023-07-03_06:31:03: {'batch_size': 512, 'beta': 0.99, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.1, 'weight_decay': 0.0} {'loss': 0.3250754655261214, 'accuracy': 0.9111005257869113, 'recall': 0.13239012145262144, 'precision': 0.04521892508664365, 'f1': 0.02674298479769251}
2023-07-03_06:32:20: {'batch_size': 512, 'beta': 0.99, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.2, 'weight_decay': 0.0} {'loss': 0.3251319769381856, 'accuracy': 0.9897196199089351, 'recall': 0.02564277447089947, 'precision': 0.05218253968253968, 'f1': 0.03010574494949495}
2023-07-03_06:33:37: {'batch_size': 512, 'beta': 0.99, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.0, 'weight_decay': 0.0} {'loss': 0.3251330176523576, 'accuracy': 0.9637875764266304, 'recall': 0.1138661541005291, 'precision': 0.04265244010816493, 'f1': 0.0380081589432151}
2023-07-03_06:34:54: {'batch_size': 512, 'beta': 0.99, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.05, 'weight_decay': 0.0} {'loss': 0.32508720822321874, 'accuracy': 0.9354668216428895, 'recall': 0.10354869378306877, 'precision': 0.028316427666122107, 'f1': 0.027133486139830684}
2023-07-03_06:36:11: {'batch_size': 512, 'beta': 0.99, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.1, 'weight_decay': 0.0} {'loss': 0.3250277223220716, 'accuracy': 0.9719502387826734, 'recall': 0.0828083664021164, 'precision': 0.034923222724052246, 'f1': 0.035110406321232905}
2023-07-03_06:37:27: {'batch_size': 512, 'beta': 0.99, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.2, 'weight_decay': 0.0} {'loss': 0.3252833442141613, 'accuracy': 0.9634490398146351, 'recall': 0.0552393353174603, 'precision': 0.04628827186743359, 'f1': 0.03091487477933065}
2023-07-03_06:38:44: {'batch_size': 512, 'beta': 0.999, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.0, 'weight_decay': 0.0} {'loss': 0.07126342984459674, 'accuracy': 0.7105287034565865, 'recall': 0.5634264895983646, 'precision': 0.03268973755606489, 'f1': 0.04399751935206895}
2023-07-03_06:40:01: {'batch_size': 512, 'beta': 0.999, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.05, 'weight_decay': 0.0} {'loss': 0.0714685843558982, 'accuracy': 0.7128221973869371, 'recall': 0.5996486441798942, 'precision': 0.03445876597720471, 'f1': 0.05056111789031815}
2023-07-03_06:41:18: {'batch_size': 512, 'beta': 0.999, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.1, 'weight_decay': 0.0} {'loss': 0.0713745134319955, 'accuracy': 0.6840491758863871, 'recall': 0.5541473139129389, 'precision': 0.027354348235246337, 'f1': 0.036082623704767294}
2023-07-03_06:42:36: {'batch_size': 512, 'beta': 0.999, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.2, 'weight_decay': 0.0} {'loss': 0.0712917645869311, 'accuracy': 0.7174867112690864, 'recall': 0.5491484788359788, 'precision': 0.02971346105174688, 'f1': 0.04092960203280755}
2023-07-03_06:43:53: {'batch_size': 512, 'beta': 0.999, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.0, 'weight_decay': 0.0} {'loss': 0.07135540089802817, 'accuracy': 0.7308813375469073, 'recall': 0.5717276936026936, 'precision': 0.028441256011223038, 'f1': 0.04143200228037779}
2023-07-03_06:45:09: {'batch_size': 512, 'beta': 0.999, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.05, 'weight_decay': 0.0} {'loss': 0.0712341009057127, 'accuracy': 0.7140011994735054, 'recall': 0.5850143924362674, 'precision': 0.02338341263110298, 'f1': 0.040417510337332464}
2023-07-03_06:46:26: {'batch_size': 512, 'beta': 0.999, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.1, 'weight_decay': 0.0} {'loss': 0.0711126734483211, 'accuracy': 0.6957592065783514, 'recall': 0.5458288239538239, 'precision': 0.026426953800374988, 'f1': 0.039629841467223176}
2023-07-03_06:47:44: {'batch_size': 512, 'beta': 0.999, 'dampening': 0.0, 'learning_rate': 0.0001, 'momentum': 0.2, 'weight_decay': 0.0} {'loss': 0.07119988831497417, 'accuracy': 0.7138502543510611, 'recall': 0.5530960648148149, 'precision': 0.033313628808704525, 'f1': 0.04581725840137778}
2023-07-03_07:57:10: {'batch_size': 512, 'beta': 0.995, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.04, 'weight_decay': 0.0} {'loss': 0.21364509205644333, 'accuracy': 0.9721583648744824, 'recall': 0.12065558862433863, 'precision': 0.06304821190905037, 'f1': 0.05937838566789508}
2023-07-03_07:58:29: {'batch_size': 512, 'beta': 0.995, 'dampening': 0.0, 'learning_rate': 0.001, 'momentum': 0.05, 'weight_decay': 0.0} {'loss': 0.21344572876114395, 'accuracy': 0.9777744206335727, 'recall': 0.08217630170755172, 'precision': 0.052070971336106775, 'f1': 0.04771675031543063}
